P1,P2,P3,P4
-9.39,-3.858,4.803,9.921
-9.252,-3.72,4.941,9.802999999999999
-9.39,-3.858,4.803,9.921
-9.252,-3.72,4.941,10.059
-9.39,-3.858,4.803,9.921
-9.252,-3.72,4.941,9.802999999999999
-9.39,-3.858,4.823,9.941
-9.252,-3.72,4.941,10.059
-9.39,-3.858,4.803,9.921
-9.252,-3.9960000000000004,4.941,9.783
-9.39,-3.858,4.803,9.921
-9.252,-3.9960000000000004,4.941,9.783
-9.39,-3.858,4.803,9.921
-9.252,-3.9960000000000004,4.941,10.059
-9.685,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.802999999999999
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,10.059
-9.39,-3.858,5.098,9.921
-10.097999999999999,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.252,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.783
-9.39,-3.563,5.098,9.921
-9.823,-3.72,4.941,9.783
-9.685,-3.563,5.098,9.921
-9.252,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.563,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.252,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.823,-4.291,4.941,9.783
-9.39,-4.1339999999999995,5.098,10.748
-9.823,-4.291,4.941,10.059
-9.39,-4.1339999999999995,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.563,5.098,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.563,5.098,9.921
-9.547,-3.9960000000000004,4.941,10.335
-9.39,-4.1339999999999995,5.098,10.197000000000001
-9.547,-4.291,4.941,10.335
-9.685,-4.1339999999999995,5.098,10.472000000000001
-9.547,-4.291,4.941,10.61
-9.39,-4.1339999999999995,5.098,11.043
-9.252,-4.016,4.941,11.181
-9.39,-4.1339999999999995,5.098,10.197000000000001
-9.252,-3.9960000000000004,4.941,10.886
-9.39,-4.1339999999999995,5.098,10.197000000000001
-9.252,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.783
-9.39,-3.858,5.098,9.921
-9.252,-4.016,4.941,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.252,-4.016,4.941,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.252,-3.9960000000000004,5.236000000000001,9.783
-9.39,-3.858,5.098,9.921
-9.547,-3.9960000000000004,4.941,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.547,-3.9960000000000004,5.236000000000001,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.547,-4.016,5.236000000000001,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.547,-4.291,5.236000000000001,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.252,-4.291,4.941,9.783
-9.685,-4.154,5.098,9.921
-9.823,-4.291,4.941,9.783
-9.685,-4.409,5.098,9.921
-9.252,-4.291,4.941,9.783
-9.39,-4.1339999999999995,5.098,9.921
-9.823,-3.9960000000000004,4.941,9.802999999999999
